Artist,Album,Rating,Genre,Youtube
Hagane,Top of the Tower,5,power,https://www.youtube.com/watch?v=zaSiRkWC3IA
Beachside Talks,Hokorobi,5,dream pop/shoegaze,https://www.youtube.com/watch?v=k72FFt5rKFM
Sold Soul,"Just Like That, I Disappear Entirely",5,deathcore,https://www.youtube.com/watch?v=AG3VYCHH-R8
Belnejoum,Dark Tales of Zarathustra,5,symphonic black,https://www.youtube.com/watch?v=jHoNNSVIa-A
1st0,2nd Chapter,5,power,https://www.youtube.com/watch?v=OzG3yCxhZiw
Saor,Amidst the Ruins,5,atmospheric black/folk,https://www.youtube.com/watch?v=uVIFEwa9JZg
Morcolac,Sanguinaria,4,melodic black,https://www.youtube.com/watch?v=FkiOKtBLWgo
Grima,Nightside,4,atmospheric black,https://www.youtube.com/watch?v=GYcI390LQfc
Citadel,Descension,4,death/progressive,https://www.youtube.com/watch?v=8WbiymGqVtc
Neopera,Eternal Source,4,symphonic,https://www.youtube.com/watch?v=rbgjFNFL37M
Warmoon Lord,Sacrosanct Demonopathy,4,black,https://www.youtube.com/watch?v=HYHJhHfh1LY
The Man-Eating Tree,Night Verses,4,gothic,https://www.youtube.com/watch?v=3KVwH3i9owQ
Tribunal,In Penitence And Ruin,4,doom/gothic,https://www.youtube.com/watch?v=ykEi0R7RFQw
Ninkharsag,Black Swords of Winter [EP],3.5,melodic black,https://www.youtube.com/watch?v=9E-f0qvqllE
Havukruunu,Tavastland,3.5,melodic black/folk,https://www.youtube.com/watch?v=XuB94zpEptU
Gràb,Kremess,3.5,melodic black,https://www.youtube.com/watch?v=BnWdqX6_2j0
Balzac,Evil Legend Thirteen,3,punk rock,https://www.youtube.com/watch?v=ARnlm2_-Tzw
Sammale,Ikiharmaja,3,atmospheric black,https://www.youtube.com/watch?v=k2U2-Wn9G1M
Opia,"I Welcome Thee, Eternal Sleep",3,doom/gothic,https://www.youtube.com/watch?v=Q9eIGFvphWc
Karg,Marodeur,3,post-black,https://www.youtube.com/watch?v=05uCF3kqav4
Final Dose,Under The Eternal Shadow,3,black/punk,https://www.youtube.com/watch?v=IjdycGO8GLw
Bloody Valkyria,"In Our Home, Across The Fog",3,melodic black,https://www.youtube.com/watch?v=2R7XkHX1z14
East of Eden,The First Eden - Seeds of Hope,3,power/j-rock,https://www.youtube.com/watch?v=u_n39NI3SCE
Shiver of Frontier,Power of Great Spirits,3,power/symphonic,https://www.youtube.com/watch?v=0EMa9QxTzNI
Ave Mujica,Completeness,3,alternative/symphonic,https://www.youtube.com/watch?v=0YNMV7xljD4
Fell Omen,Invaded By A Dark Spirit,3,black/punk,https://www.youtube.com/watch?v=ebSX7nnN28Q
Teitanblood,From The Visceral Abyss,3,war/death,https://www.youtube.com/watch?v=v0eaKqFaOys
Hartlight,The Triumph of Metal,3,symphonic/progressive,https://www.youtube.com/watch?v=UtQarqIcBFM
Trold,I Skovens Rige,3,folk/death,https://www.youtube.com/watch?v=dPtXXt582FU
Elvenking,Reader Of The Runes: Luna,3,folk/power,https://www.youtube.com/watch?v=ZHzWX_J6jNo
Deafheaven,Lonely People With Power,3,post-black,https://www.youtube.com/watch?v=CH3PmHeJpQ4
Ancient Bards,Artifex,3,symphonic/power,https://www.youtube.com/watch?v=nkEMd_L-6-w
Messa,The Spin,3,doom,https://www.youtube.com/watch?v=cHYK-tpNIcc
Mournful Moon,"Twilight, My Passion",3,black/dungeon synth,https://www.youtube.com/watch?v=69RjU3poW6Q
Christ Dismembered,Ov Vampiracy,3,black,https://www.youtube.com/watch?v=YyPgEi_cIZk
Eluveitie,Ànv,3,melodic death/folk,https://www.youtube.com/watch?v=4I3QmjZLUvQ
Behölder,In the Temple of the Tyrant,3,doom/power,https://www.youtube.com/watch?v=kYxDvv1Puq8
Hoshimachi Suisei,新星目録,3,j-pop,https://www.youtube.com/watch?v=8ZP5eqm4JqM
The Birthday Massacre,Pathways,3,darkwave,https://www.youtube.com/watch?v=BUeLi9KC7ag
Decline of the I,Wilhelm,3,post-black,https://www.youtube.com/watch?v=kIvSDdtvBBY
Buried Realm,The Dormant Darkness,3,melodic death/tech death,https://www.youtube.com/watch?v=hCScIFoNhLg
Ancient Death,Ego Dissolution,3,death/doom,https://www.youtube.com/watch?v=70dJJade99s
Imperishable,Swallowing The World,3,death/melodic death,https://www.youtube.com/watch?v=sdfX3FKvzO0
Kryptan,"Violence, Our Power",3,black,https://www.youtube.com/watch?v=MQ7ahCxEbBE
Forsaken Hill,The Fortress Of Solitude,3,melodic death/power,https://www.youtube.com/watch?v=2mekSqfEth8
Malacath,Eternal Roar of Thunder and Rain,3,atmospheric black,https://www.youtube.com/watch?v=mHLiZzvxXws
Dream Evil,Thunder In The Night [EP],3,heavy/power,https://www.youtube.com/watch?v=M8AB0IrbOIU
Dexcore,We Were Here,3,metalcore,https://www.youtube.com/watch?v=IF4x7bUem9k
Hate,Bellum Regiis,3,death/black,https://www.youtube.com/watch?v=HUtHF8Mf6Cw
Eternios,Mysterium,3,symphonic death/black,https://www.youtube.com/watch?v=EZoTzp4mTgk&t=1423s
Rothadás,Töviskert...,2.5,death/doom,https://www.youtube.com/watch?v=vSjZHdhc_2c
LIK,Necro,2.5,death,https://www.youtube.com/watch?v=ac-fndbGqrg
Nephylim,Circuition,2.5,melodic death,https://www.youtube.com/watch?v=WRySC1MBKHs
Scimitar,Scimitarium I,2.5,heavy/black,https://www.youtube.com/watch?v=5Qi4O4XrIBQ
Imperial Triumphant,Goldstar,2.5,death/progressive,https://www.youtube.com/watch?v=7Ios6fwqrSU
LarcɆnia RoɆ,Extraction,2.5,deathcore/slam,https://www.youtube.com/watch?v=egCWUqRt8QQ
Erocis,The Sunken Lands,2.5,melodic death/folk,https://www.youtube.com/watch?v=P5YlOfAZKBs
Dragonknight,Legions,2.5,power,https://www.youtube.com/watch?v=-D5Wm5PTqgk
Abduction,Existentialismus,2.5,black,https://www.youtube.com/watch?v=6MF2fJiCXZk
Ancient Mastery,The Forgotten Realm of Xul'Gothar,2,melodic black,https://www.youtube.com/watch?v=ttKeW8djtOQ
Epica,Aspiral,2,symphonic,https://www.youtube.com/watch?v=MOD50EoFqdg
Elderwind,Older Than Ancient,2,atmospheric black,https://www.youtube.com/watch?v=kCEFu4ObjEo
The Chamberlain,Draconian Magick,2,black,https://www.youtube.com/watch?v=8ZuKjL5Nj2o
Kardashev,Alunea,2,progressive/post-black,https://www.youtube.com/watch?v=i7N_PJWvTOg
Náriðill,Evil Is The Only Way... [EP],2,black,https://www.youtube.com/watch?v=zYJMMyTSSvc
Neckbreakker,Within the Viscera,2,death,https://www.youtube.com/watch?v=x66bZGnwKq0
Majestica,Power Train,2,power,https://www.youtube.com/watch?v=dP08ex8nbKE
Ghost,Skeletá,2,rock,https://www.youtube.com/watch?v=DLG9oTH-ZbQ
UNDYING WORDS,Raven In The Abyss [EP],2,alternative/j-rock,https://www.youtube.com/watch?v=cAU1Xd-DcOI
Niveous,Endless Snowfall [EP],2,black,https://www.youtube.com/watch?v=jViTPBCMJpw
Nattverd,Tidloes Naadesloes,2,black,https://www.youtube.com/watch?v=V4ang4Xx5Z0
Vacuous,In His Blood,2,death,https://www.youtube.com/watch?v=hJGvbyFzOY0
Jade,Mysteries of a Flowery Dream,2,death/doom,https://www.youtube.com/watch?v=BOxutnufHrI
Aoyama Sachiko,かがやきの虜,2,j-pop,https://www.youtube.com/watch?v=qmdt2f7f-AQ
Aran Angmar,Ordo Diabolicum,2,melodic black,https://www.youtube.com/watch?v=w2yWq9DGRlY
Whitechapel,Hymns In Dissonance,2,deathcore,https://www.youtube.com/watch?v=Ca1ZwkWUo-o
In The Woods...,Otra,2,progressive/atmospheric,https://www.youtube.com/watch?v=SVXayule47w
Ulfhednar,The Final Strife [EP],2,melodic death/folk,https://www.youtube.com/watch?v=-MiajTWAA5M
Hans & Valter,The Legend Of The Oakensource,2,power,https://www.youtube.com/watch?v=3-ZooVB85Ho
When Reasons Collapse,Men Will Be The End Of Men,2,metalcore,https://www.youtube.com/watch?v=uzv6WaVEsAk
Arch Enemy,Blood Dynasty,2,melodic death,https://www.youtube.com/watch?v=sIrRewJVeHI
Visionatica,Harrowing Insight,2,symphonic,https://www.youtube.com/watch?v=_jpfH_GmRq0
Vallorch,The Circle,2,folk,https://www.youtube.com/watch?v=IlyLrROKUQU
Bleed From Within,Zenith,2,metalcore,https://www.youtube.com/watch?v=42-e9zFmgPA
Dark Monument,Zerrissen,2,atmospheric black,https://www.youtube.com/watch?v=VHpmeHdf0pw
Scitalis,Maledictum,2,black,https://www.youtube.com/watch?v=qRfJ-Unfal0
Aversed,Erasure of Color,2,melodic death,https://www.youtube.com/watch?v=lUatQbOXUlU
Vermilia,Karsikko,2,atmospheric black/folk,https://www.youtube.com/watch?v=6YPY1qrfLD8
Heathen Heretic,Whispers From The Abyss,2,melodic death,https://www.youtube.com/watch?v=BndNMK4cRzc
DarkbarD,Blasphemies Vol. 1 [EP],2,atmospheric black,https://www.youtube.com/watch?v=zxsyPT9zpW0
Dynazty,Game of Faces,2,power/rock,https://www.youtube.com/watch?v=qIfnSJl8RmA
Sonus Mortis,Synapse The Hivemind,2,melodic death,https://www.youtube.com/watch?v=AO2ncxfoxU0
Forlorn,Aether,2,alternative/metalcore,https://www.youtube.com/watch?v=vOvrBbGknhc
Dawn of Ouroboros,Bioluminescence,2,post-black/progressive,https://www.youtube.com/watch?v=LglfXHM1gH4
Serenity in Murder,Timeless Reverie,2,melodic death/metalcore,https://www.youtube.com/watch?v=uLG_B5N90FY
Sleep Token,Even In Arcadia,2,pop/alternative,https://www.youtube.com/watch?v=JJpFTUP6fIo
Schönberg,Resurrection Σ,1,symphonic/power,https://www.youtube.com/watch?v=B_DXnuqYFJs
